Feb 21 00:06:39 control k3s[5865]:  >
Feb 21 00:06:39 control k3s[5865]: E0221 00:06:39.799481    5865 handler_proxy.go:143] error resolving kube-system/metrics-server: no endpoints available for service "metrics-server"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.825975    5865 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.43.0.0/16
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.857416    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.906330    5865 event.go:389] "Event occurred" object="kube-system/traefik" fieldPath="" kind="Addon" apiVersion="k3s.cattle.io/v1" type="Normal" reason="ApplyingManifest" message="Applying manifest at \"/var/lib/rancher/k3s/server/manifests/traefik.yaml\""
Feb 21 00:06:39 control k3s[5865]: I0221 00:06:39.977656    5865 controller.go:667] quota admission added evaluator for: helmcharts.helm.cattle.io
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.142248    5865 event.go:389] "Event occurred" object="kube-system/traefik" fieldPath="" kind="Addon" apiVersion="k3s.cattle.io/v1" type="Normal" reason="AppliedManifest" message="Applied manifest at \"/var/lib/rancher/k3s/server/manifests/traefik.yaml\""
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.194126    5865 kube.go:163] Node controller sync successful
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.194378    5865 vxlan.go:128] VXLAN config: VNI=1 Port=0 GBP=false Learning=false DirectRouting=false
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.222331    5865 kube.go:704] List of node(control) annotations: map[string]string{"alpha.kubernetes.io/provided-node-ip":"192.168.56.10", "k3s.io/hostname":"control", "k3s.io/internal-ip":"192.168.56.10", "k3s.io/node-args":"[\"server\",\"--node-ip\",\"192.168.56.10\",\"--advertise-address\",\"192.168.56.10\",\"--tls-san\",\"192.168.56.10\",\"--flannel-iface\",\"enp0s8\",\"--write-kubeconfig-mode\",\"644\"]", "k3s.io/node-config-hash":"R4SCDFBMRNIRYETU3CTQ5GN563R6UH3JSKWTCOIZHJLSHMXI6T7A====", "k3s.io/node-env":"{\"K3S_KUBECONFIG_MODE\":\"644\"}", "node.alpha.kubernetes.io/ttl":"0", "volumes.kubernetes.io/controller-managed-attach-detach":"true"}
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=info msg="Starting /v1, Kind=Node controller"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.335203    5865 event.go:389] "Event occurred" object="kube-system/traefik" fieldPath="" kind="HelmChart" apiVersion="helm.cattle.io/v1" type="Normal" reason="ApplyJob" message="Applying HelmChart using Job kube-system/helm-install-traefik"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.397785    5865 kube.go:558] Creating the node lease for IPv4. This is the n.Spec.PodCIDRs: [10.42.0.0/24]
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.404778    5865 iptables.go:50] Starting flannel in iptables mode...
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=warning msg="no subnet found for key: FLANNEL_NETWORK in file: /run/flannel/subnet.env"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=warning msg="no subnet found for key: FLANNEL_SUBNET in file: /run/flannel/subnet.env"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=warning msg="no subnet found for key: FLANNEL_IPV6_NETWORK in file: /run/flannel/subnet.env"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=warning msg="no subnet found for key: FLANNEL_IPV6_SUBNET in file: /run/flannel/subnet.env"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.407046    5865 iptables.go:101] Current network or subnet (10.42.0.0/16, 10.42.0.0/24) is not equal to previous one (0.0.0.0/0, 0.0.0.0/0), trying to recycle old iptables rules
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.413413    5865 event.go:389] "Event occurred" object="kube-system/traefik-crd" fieldPath="" kind="HelmChart" apiVersion="helm.cattle.io/v1" type="Normal" reason="ApplyJob" message="Applying HelmChart using Job kube-system/helm-install-traefik-crd"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=info msg="Starting /v1, Kind=Pod controller"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=info msg="Starting apps/v1, Kind=DaemonSet controller"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=info msg="Starting discovery.k8s.io/v1, Kind=EndpointSlice controller"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.521359    5865 controllermanager.go:329] Started "cloud-node-controller"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.523046    5865 controllermanager.go:329] Started "cloud-node-lifecycle-controller"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.523919    5865 controllermanager.go:329] Started "service-lb-controller"
Feb 21 00:06:40 control k3s[5865]: W0221 00:06:40.524210    5865 controllermanager.go:306] "node-route-controller" is disabled
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.526754    5865 node_controller.go:176] Sending events to api server.
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.527556    5865 node_lifecycle_controller.go:112] Sending events to api server
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.527672    5865 node_controller.go:185] Waiting for informer caches to sync
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.527899    5865 controller.go:235] Starting service controller
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.528039    5865 shared_informer.go:370] "Waiting for caches to sync"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.592581    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.628323    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.628790    5865 node_controller.go:429] Initializing node control with cloud provider
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.643348    5865 controller.go:667] quota admission added evaluator for: jobs.batch
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.652296    5865 shared_informer.go:377] "Caches are synced"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.652472    5865 garbagecollector.go:166] "Garbage collector: all resource monitors have synced"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.652487    5865 garbagecollector.go:169] "Proceeding to collect garbage"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.666729    5865 iptables.go:111] Setting up masking rules
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.689850    5865 node_controller.go:474] Successfully initialized node control with cloud provider
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.690682    5865 event.go:389] "Event occurred" object="control" fieldPath="" kind="Node" apiVersion="v1" type="Normal" reason="Synced" message="Node synced successfully"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.712381    5865 iptables.go:212] Changing default FORWARD chain policy to ACCEPT
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=info msg="Wrote flannel subnet file to /run/flannel/subnet.env"
Feb 21 00:06:40 control k3s[5865]: time="2026-02-21T00:06:40Z" level=info msg="Running flannel backend."
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.756693    5865 vxlan_network.go:68] watching for new subnet leases
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.756717    5865 vxlan_network.go:115] starting vxlan device watcher
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.782768    5865 event.go:389] "Event occurred" object="kube-system/traefik" fieldPath="" kind="HelmChart" apiVersion="helm.cattle.io/v1" type="Normal" reason="ApplyJob" message="Applying HelmChart using Job kube-system/helm-install-traefik"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.795707    5865 server.go:173] "Starting Kubernetes Scheduler" version="v1.35.1+k3s1"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.795909    5865 server.go:175] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Feb 21 00:06:40 control k3s[5865]: W0221 00:06:40.801085    5865 handler_proxy.go:99] no RequestInfo found in the context
Feb 21 00:06:40 control k3s[5865]: E0221 00:06:40.801391    5865 controller.go:102] "Unhandled Error" err=<
Feb 21 00:06:40 control k3s[5865]:         loading OpenAPI spec for "v1beta1.metrics.k8s.io" failed with: failed to download v1beta1.metrics.k8s.io: failed to retrieve openAPI spec, http error: ResponseCode: 503, Body: service unavailable
Feb 21 00:06:40 control k3s[5865]:         , Header: map[Content-Type:[text/plain; charset=utf-8] X-Content-Type-Options:[nosniff]]
Feb 21 00:06:40 control k3s[5865]:  >
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.801421    5865 controller.go:109] OpenAPI AggregationController: action for item v1beta1.metrics.k8s.io: Rate Limited Requeue.
Feb 21 00:06:40 control k3s[5865]: W0221 00:06:40.803167    5865 handler_proxy.go:99] no RequestInfo found in the context
Feb 21 00:06:40 control k3s[5865]: E0221 00:06:40.803429    5865 controller.go:113] "Unhandled Error" err="loading OpenAPI spec for \"v1beta1.metrics.k8s.io\" failed with: Error, could not get list of group versions for APIService"
Feb 21 00:06:40 control k3s[5865]: I0221 00:06:40.803660    5865 controller.go:126] OpenAPI AggregationController: action for item v1beta1.metrics.k8s.io: Rate Limited Requeue.
